Dist    Strength    Reserved    TS          
5670    541         0           15:43:49.861   
5670    540         0           15:43:49.861   
5670    543         0           15:43:49.879   
5670    539         0           15:43:49.891   
5670    533         0           15:43:49.891   
5670    532         0           15:43:49.915   
5670    526         0           15:43:49.915   
5670    538         0           15:43:49.927   
5669    531         0           15:43:49.939   
5670    534         0           15:43:49.951   
5669    540         0           15:43:49.951   
5669    539         0           15:43:49.969   
5669    535         0           15:43:49.981   
5669    532         0           15:43:49.981   
5669    538         0           15:43:50.5     
5669    541         0           15:43:50.5     
5669    527         0           15:43:50.17    
5669    534         0           15:43:50.29    
5669    535         0           15:43:50.41    
5669    542         0           15:43:50.41    
5669    538         0           15:43:50.59    
5669    529         0           15:43:50.71    
5669    530         0           15:43:50.72    
5669    531         0           15:43:50.89    
5669    529         0           15:43:50.107   
5669    529         0           15:43:50.107   
5670    534         0           15:43:50.119   
5670    531         0           15:43:50.131   
5670    539         0           15:43:50.131   
5670    530         0           15:43:50.149   
5670    531         0           15:43:50.161   
5670    538         0           15:43:50.161   
5670    526         0           15:43:50.179   
5670    531         0           15:43:50.200   
5670    542         0           15:43:50.200   
5670    531         0           15:43:50.213   
5670    533         0           15:43:50.213   
5670    544         0           15:43:50.230   
5670    537         0           15:43:50.230   
5669    541         0           15:43:50.248   
5669    530         0           15:43:50.260   
5669    535         0           15:43:50.272   
5669    523         0           15:43:50.272   
5669    541         0           15:43:50.296   
5669    534         0           15:43:50.296   
5669    535         0           15:43:50.308   
5669    539         0           15:43:50.320   
5669    532         0           15:43:50.332   
5669    541         0           15:43:50.332   
5669    528         0           15:43:50.350   
5669    533         0           15:43:50.364   
5669    531         0           15:43:50.364   
5670    544         0           15:43:50.386   
5669    535         0           15:43:50.386   
5669    534         0           15:43:50.398   
5669    532         0           15:43:50.410   
5669    530         0           15:43:50.422   
5669    533         0           15:43:50.422   
5670    535         0           15:43:50.440   
5670    539         0           15:43:50.452   
5670    525         0           15:43:50.452   
5669    533         0           15:43:50.476   
5670    532         0           15:43:50.476   
5670    536         0           15:43:50.488   
5670    528         0           15:43:50.500   
5670    543         0           15:43:50.512   
5670    532         0           15:43:50.512   
5669    530         0           15:43:50.530   
5669    530         0           15:43:50.542   
5669    539         0           15:43:50.542   
5669    522         0           15:43:50.560   
5669    521         0           15:43:50.578   
5669    528         0           15:43:50.578   
5669    537         0           15:43:50.590   
5669    536         0           15:43:50.602   
5669    535         0           15:43:50.602   
5669    536         0           15:43:50.620   
5669    538         0           15:43:50.632   
5670    533         0           15:43:50.632   
5670    533         0           15:43:50.650   
5670    531         0           15:43:50.668   
5670    528         0           15:43:50.668   
5670    536         0           15:43:50.680   
5670    531         0           15:43:50.692   
5670    524         0           15:43:50.692   
5670    544         0           15:43:50.710   
5669    537         0           15:43:50.722   
5669    540         0           15:43:50.722   
5669    530         0           15:43:50.740   
5669    533         0           15:43:50.758   
5669    533         0           15:43:50.758   
5669    540         0           15:43:50.770   
5669    531         0           15:43:50.782   
5669    537         0           15:43:50.782   
5669    541         0           15:43:50.800   
5669    535         0           15:43:50.812   
5669    529         0           15:43:50.812   
5669    537         0           15:43:50.830   
5669    536         0           15:43:50.842   
5669    525         0           15:43:50.842   
5669    536         0           15:43:50.860   
5669    540         0           15:43:50.872   
5669    535         0           15:43:50.872   
5669    528         0           15:43:50.890   
5670    540         0           15:43:50.902   
5670    535         0           15:43:50.902   
5670    533         0           15:43:50.920   
5669    533         0           15:43:50.932   
5670    541         0           15:43:50.932   
5670    529         0           15:43:50.956   
5670    534         0           15:43:50.956   
5670    539         0           15:43:50.968   
5670    544         0           15:43:50.980   
5670    543         0           15:43:50.992   
